AGRO.BA
ALUA.BA
BMA.BA
BYMA.BA
CEPU.BA
COME.BA
CRES.BA
CVH.BA
DGCU2.BA
EDN.BA
FRAN.BA
GGAL.BA
HARG.BA
LOMA.BA
METR.BA
MIRG.BA
PAMP.BA
SUPV.BA
TECO2.BA
TGNO4.BA
TGSU2.BA
TRAN.BA
TXAR.BA
VALO.BA
YPFD.BA
